url_length,domain_length,subdomain_length,path_length,num_dots,num_hyphens,num_underscores,num_slashes,num_digits,num_special_chars,num_sensitive_words,has_@,has_https,has_ip,has_suspicious_tld,is_shortened,label
9,3,2,0,2,0,0,0,0,0,0,0,0,0,0,0,1
39,9,0,10,3,1,0,1,0,2,0,0,0,0,0,0,1
78,9,0,10,2,0,1,1,3,8,0,0,0,0,0,0,1
32,14,0,14,2,0,0,1,0,0,0,0,0,0,0,0,0
12,9,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
39,9,0,22,1,0,0,4,4,2,0,0,0,0,0,0,0
43,5,11,22,3,0,0,2,0,0,0,0,0,0,0,0,1
68,21,42,0,5,0,0,0,4,0,0,0,0,0,0,0,1
34,5,0,25,1,0,0,3,5,0,0,0,0,0,0,0,0
30,13,0,13,1,0,0,3,0,0,0,0,0,0,0,0,1
130,9,0,10,2,1,1,1,5,16,0,0,0,0,0,0,1
84,12,0,69,3,2,0,8,0,0,1,0,0,0,0,0,0
68,4,12,48,3,1,0,2,20,0,0,0,0,0,0,0,1
38,10,0,21,2,0,0,3,2,0,1,0,0,0,0,0,1
108,22,0,10,2,2,1,1,3,10,0,0,0,0,0,0,1
42,9,10,18,2,1,0,2,0,1,0,0,0,0,0,0,0
32,9,2,16,2,0,1,2,0,0,0,0,0,0,0,0,0
69,10,0,37,5,1,0,4,11,2,0,0,0,1,0,0,1
35,5,4,21,3,0,0,2,0,0,0,0,0,0,0,0,1
111,6,0,34,4,4,1,8,0,5,1,0,1,0,0,0,1
20,10,0,6,1,0,0,1,0,0,0,0,0,0,0,0,0
27,13,0,14,4,0,0,2,10,0,0,0,0,1,0,0,1
24,4,0,16,1,0,0,2,7,0,0,0,0,0,0,0,0
135,6,0,125,1,15,0,4,6,0,0,0,0,0,0,0,0
83,18,0,61,2,4,0,3,0,0,0,0,0,0,0,0,1
32,11,0,18,2,0,0,2,0,0,0,0,0,0,0,0,1
23,14,0,6,1,0,0,1,0,0,0,0,1,0,0,0,1
84,25,0,10,2,0,1,1,2,8,0,0,0,0,0,0,1
158,15,0,96,6,2,3,8,7,2,1,0,1,0,0,0,1
71,15,0,37,3,0,1,4,2,1,1,0,0,0,0,0,0
99,20,0,10,2,0,1,1,4,13,0,0,0,0,0,0,1
19,15,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
89,7,0,78,2,0,9,3,6,0,0,0,0,0,0,0,0
86,19,0,63,2,0,1,3,21,0,1,0,0,0,0,0,0
52,8,4,32,4,0,1,3,0,0,0,0,0,0,0,0,1
83,13,0,10,2,0,1,1,3,8,0,0,0,0,0,0,1
50,10,6,29,3,1,0,3,0,0,0,0,0,0,0,0,1
44,9,0,31,1,1,0,4,4,0,0,0,0,0,0,0,0
70,10,0,56,1,9,0,2,1,0,0,0,0,0,0,0,1
31,7,0,6,1,0,0,1,1,2,0,0,0,0,0,0,0
67,12,0,52,2,2,0,4,3,0,0,0,0,0,0,0,1
20,9,0,7,1,0,0,1,1,0,0,0,0,0,0,0,1
41,5,0,32,1,0,0,2,0,2,0,0,0,0,0,0,0
60,8,0,48,2,0,5,3,1,0,0,0,0,0,0,0,0
93,10,0,80,3,8,0,2,10,0,2,0,1,0,0,0,1
37,5,6,21,2,0,1,2,0,0,0,0,0,0,0,0,0
11,8,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
75,4,0,10,2,0,1,1,6,10,0,0,0,0,0,0,1
56,5,20,26,5,1,0,2,0,1,2,0,0,0,0,0,1
43,12,0,27,1,1,1,2,7,0,0,0,0,0,0,0,0
28,6,0,4,3,0,0,2,0,2,0,0,0,0,0,0,1
105,8,0,10,2,0,1,1,15,12,0,0,0,0,0,0,1
29,13,0,16,3,0,0,2,10,0,0,0,0,1,0,0,1
40,11,0,25,1,0,0,3,3,1,0,0,0,0,0,0,0
59,8,3,43,3,0,0,5,1,0,0,0,0,0,0,0,1
65,19,0,42,1,0,0,4,26,0,1,0,1,0,0,0,1
38,10,0,24,1,1,0,3,0,0,0,0,0,0,0,0,1
117,5,16,47,8,0,0,7,1,11,2,0,1,0,0,0,1
32,9,0,19,2,0,0,1,0,0,0,0,0,0,0,0,0
18,9,0,6,1,0,0,1,1,0,0,0,0,0,0,0,1
89,9,13,62,2,7,0,2,0,0,0,0,0,0,0,0,0
44,5,9,23,5,0,1,1,0,0,0,0,0,0,0,0,0
26,11,0,11,2,0,0,1,0,0,0,0,0,0,0,0,1
27,14,0,7,4,0,0,1,16,0,0,0,0,1,0,0,1
